"Season","Daynum","Wteam","Wscore","Lteam","Lscore","Wloc","Numot","WinningTeam","LosingTeam","WinningTeamSeed","LosingTeamSeed"
"1985","136","1116","63","1234","54","N","0","Arkansas","Iowa","09","08"
"1985","136","1120","59","1345","58","N","0","Auburn","Purdue","11","06"
"1985","136","1207","68","1250","43","N","0","Georgetown","Lehigh","01","16"
"1985","136","1229","58","1425","55","N","0","Illinois St","USC","09","08"
"1985","136","1242","49","1325","38","N","0","Kansas","Ohio","03","14"
"1985","136","1246","66","1449","58","N","0","Kentucky","Washington","12","05"
"1985","136","1256","78","1338","54","N","0","Louisiana Tech","Pittsburgh","05","12"
"1985","136","1260","59","1233","58","N","0","Loyola-Chicago","Iona","04","13"
"1985","136","1314","76","1292","57","N","0","North Carolina","MTSU","02","15"
"1985","136","1323","79","1333","70","N","0","Notre Dame","Oregon St","07","10"
"1985","136","1326","75","1235","64","N","0","Ohio St","Iowa St","04","13"
"1985","136","1328","96","1299","83","N","0","Oklahoma","NC A&T","01","16"
"1985","136","1374","85","1330","68","N","0","SMU","Old Dominion","05","12"
"1985","136","1385","83","1380","59","N","0","St John's","Southern Univ","01","16"
"1985","136","1396","60","1439","57","N","0","Temple","Virginia Tech","08","09"
"1985","136","1424","85","1361","80","N","0","UNLV","San Diego St","04","13"
"1985","137","1104","50","1112","41","N","0","Alabama","Arizona","07","10"
"1985","137","1130","55","1403","53","N","0","Boston College","Texas Tech","11","06"
"1985","137","1181","75","1337","62","N","0","Duke","Pepperdine","03","14"
"1985","137","1208","67","1455","59","N","0","Georgia","Wichita St","06","11"
"1985","137","1210","65","1273","58","N","0","Georgia Tech","Mercer","02","15"
"1985","137","1228","76","1318","57","N","0","Illinois","Northeastern","03","14"
"1985","137","1268","69","1275","68","N","1","Maryland","Miami OH","05","12"
"1985","137","1272","67","1335","55","N","0","Memphis","Penn","02","15"
"1985","137","1276","59","1192","55","N","0","Michigan","F Dickinson","01","16"
"1985","137","1298","78","1261","55","N","0","Navy","LSU","13","04"
"1985","137","1301","65","1305","56","N","0","NC State","Nevada","03","14"
"1985","137","1393","70","1177","65","N","0","Syracuse","DePaul","07","10"
"1985","137","1412","70","1277","68","N","0","UAB","Michigan St","07","10"
"1985","137","1431","79","1409","75","N","0","UTEP","Tulsa","11","06"
"1985","137","1433","81","1267","65","N","0","VA Commonwealth","Marshall","02","15"
"1985","137","1437","51","1173","49","N","0","Villanova","Dayton","08","09"
"1985","138","1120","66","1242","64","N","0","Auburn","Kansas","11","03"
"1985","138","1207","63","1396","46","N","0","Georgetown","Temple","01","08"
"1985","138","1246","64","1424","61","N","0","Kentucky","UNLV","12","04"
"1985","138","1256","79","1326","67","N","0","Louisiana Tech","Ohio St","05","04"
"1985","138","1260","70","1374","57","N","0","Loyola-Chicago","SMU","04","05"
"1985","138","1314","60","1323","58","N","0","North Carolina","Notre Dame","02","07"
"1985","138","1328","75","1229","69","N","0","Oklahoma","Illinois St","01","09"
"1985","138","1385","68","1116","65","N","0","St John's","Arkansas","01","09"
"1985","139","1104","63","1433","59","N","0","Alabama","VA Commonwealth","07","02"
"1985","139","1130","74","1181","73","N","0","Boston College","Duke","11","03"
"1985","139","1210","70","1393","53","N","0","Georgia Tech","Syracuse","02","07"
"1985","139","1228","74","1208","58","N","0","Illinois","Georgia","03","06"
"1985","139","1268","64","1298","59","N","0","Maryland","Navy","05","13"
"1985","139","1272","67","1412","66","N","1","Memphis","UAB","02","07"
"1985","139","1301","86","1431","73","N","0","NC State","UTEP","03","11"
"1985","139","1437","59","1276","55","N","0","Villanova","Michigan","08","01"
"1985","143","1207","65","1260","53","N","0","Georgetown","Loyola-Chicago","01","04"
"1985","143","1210","61","1228","53","N","0","Georgia Tech","Illinois","02","03"
"1985","143","1272","59","1130","57","N","0","Memphis","Boston College","02","11"
"1985","143","1328","86","1256","84","N","1","Oklahoma","Louisiana Tech","01","05"
"1985","144","1301","61","1104","55","N","0","NC State","Alabama","03","07"
"1985","144","1314","62","1120","56","N","0","North Carolina","Auburn","02","11"
"1985","144","1385","86","1246","70","N","0","St John's","Kentucky","01","12"
"1985","144","1437","46","1268","43","N","0","Villanova","Maryland","08","05"
"1985","145","1207","60","1210","54","N","0","Georgetown","Georgia Tech","01","02"
"1985","145","1272","63","1328","61","N","0","Memphis","Oklahoma","02","01"
"1985","146","1385","69","1301","60","N","0","St John's","NC State","01","03"
"1985","146","1437","56","1314","44","N","0","Villanova","North Carolina","08","02"
"1985","152","1207","77","1385","59","N","0","Georgetown","St John's","01","01"
"1985","152","1437","52","1272","45","N","0","Villanova","Memphis","08","02"
"1985","154","1437","66","1207","64","N","0","Villanova","Georgetown","08","01"
"1986","136","1133","83","1431","65","N","0","Bradley","UTEP","07","10"
"1986","136","1177","72","1438","68","N","0","DePaul","Virginia","12","05"
"1986","136","1181","85","1290","78","N","0","Duke","MS Valley St","01","16"
"1986","136","1207","70","1403","64","N","0","Georgetown","Texas Tech","04","13"
"1986","136","1210","68","1265","53","N","0","Georgia Tech","Marist","02","15"
"1986","136","1242","71","1299","46","N","0","Kansas","NC A&T","01","16"
"1986","136","1257","93","1180","73","N","0","Louisville","Drexel","02","15"
"1986","136","1261","94","1345","87","N","1","LSU","Purdue","11","06"
"1986","136","1272","95","1123","63","N","0","Memphis","Ball St","03","14"
"1986","136","1277","72","1449","70","N","0","Michigan St","Washington","05","12"
"1986","136","1314","84","1428","72","N","0","North Carolina","Utah","03","14"
"1986","136","1328","80","1318","74","N","0","Oklahoma","Northeastern","04","13"
"1986","136","1330","72","1452","64","N","0","Old Dominion","West Virginia","08","09"
"1986","136","1396","61","1239","50","N","1","Temple","Jacksonville","09","08"
"1986","136","1412","66","1281","64","N","0","UAB","Missouri","06","11"
"1986","136","1437","71","1439","62","N","0","Villanova","Virginia Tech","10","07"
"1986","137","1104","97","1462","80","N","0","Alabama","Xavier","05","12"
"1986","137","1114","90","1323","83","N","0","Ark Little Rock","Notre Dame","14","03"
"1986","137","1120","73","1112","63","N","0","Auburn","Arizona","08","09"
"1986","137","1156","83","1231","79","N","0","Cleveland St","Indiana","14","03"
"1986","137","1228","75","1193","51","N","0","Illinois","Fairfield","04","13"
"1986","137","1235","81","1275","79","N","1","Iowa St","Miami OH","07","10"
"1986","137","1246","75","1172","55","N","0","Kentucky","Davidson","01","16"
"1986","137","1268","69","1337","64","N","0","Maryland","Pepperdine","05","12"
"1986","137","1276","70","1103","64","N","0","Michigan","Akron","02","15"
"1986","137","1298","87","1409","68","N","0","Navy","Tulsa","07","10"
"1986","137","1301","66","1234","64","N","0","NC State","Iowa","06","11"
"1986","137","1385","83","1286","74","N","0","St John's","Montana St","01","16"
"1986","137","1386","60","1350","59","N","0","St Joseph's PA","Richmond","06","11"
"1986","137","1393","101","1135","52","N","0","Syracuse","Brown","02","15"
"1986","137","1424","74","1419","51","N","0","UNLV","ULM","04","13"
"1986","137","1443","67","1304","59","N","0","WKU","Nebraska","08","09"
"1986","138","1177","74","1328","69","N","0","DePaul","Oklahoma","12","04"
"1986","138","1181","89","1330","61","N","0","Duke","Old Dominion","01","08"
"1986","138","1210","66","1437","61","N","0","Georgia Tech","Villanova","02","10"
"1986","138","1242","65","1396","43","N","0","Kansas","Temple","01","09"
"1986","138","1257","82","1133","68","N","0","Louisville","Bradley","02","07"
"1986","138","1261","83","1272","81","N","0","LSU","Memphis","11","03"
"1986","138","1277","80","1207","68","N","0","Michigan St","Georgetown","05","04"
"1986","138","1314","77","1412","59","N","0","North Carolina","UAB","03","06"
"1986","139","1104","58","1228","56","N","0","Alabama","Illinois","05","04"
"1986","139","1120","81","1385","65","N","0","Auburn","St John's","08","01"
"1986","139","1156","75","1386","69","N","0","Cleveland St","St Joseph's PA","14","06"
"1986","139","1235","72","1276","69","N","0","Iowa St","Michigan","07","02"
"1986","139","1246","71","1443","64","N","0","Kentucky","WKU","01","08"
"1986","139","1298","97","1393","85","N","0","Navy","Syracuse","07","02"
"1986","139","1301","80","1114","66","N","1","NC State","Ark Little Rock","06","14"
"1986","139","1424","70","1268","64","N","0","UNLV","Maryland","04","05"
"1986","143","1120","70","1424","63","N","0","Auburn","UNLV","08","04"
"1986","143","1246","68","1104","63","N","0","Kentucky","Alabama","01","05"
"1986","143","1257","94","1314","79","N","0","Louisville","North Carolina","02","03"
"1986","143","1261","70","1210","64","N","0","LSU","Georgia Tech","11","02"
"1986","144","1181","74","1177","67","N","0","Duke","DePaul","01","12"
"1986","144","1242","96","1277","86","N","1","Kansas","Michigan St","01","05"
"1986","144","1298","71","1156","70","N","0","Navy","Cleveland St","07","14"
"1986","144","1301","70","1235","66","N","0","NC State","Iowa St","06","07"
"1986","145","1257","84","1120","76","N","0","Louisville","Auburn","02","08"
"1986","145","1261","59","1246","57","N","0","LSU","Kentucky","11","01"
"1986","146","1181","71","1298","50","N","0","Duke","Navy","01","07"
"1986","146","1242","75","1301","67","N","0","Kansas","NC State","01","06"
"1986","152","1181","71","1242","67","N","0","Duke","Kansas","01","01"
"1986","152","1257","88","1261","77","N","0","Louisville","LSU","02","11"
"1986","154","1257","72","1181","69","N","0","Louisville","Duke","02","01"
"1987","136","1104","88","1299","71","N","0","Alabama","NC A&T","02","15"
"1987","136","1120","62","1360","61","N","0","Auburn","San Diego","08","09"
"1987","136","1122","68","1228","67","N","0","Austin Peay","Illinois","14","03"
"1987","136","1181","58","1401","51","N","0","Duke","Texas A&M","05","12"
"1987","136","1231","92","1193","58","N","0","Indiana","Fairfield","01","16"
"1987","136","1243","82","1208","79","N","1","Kansas St","Georgia","09","08"
